,Number Particles,Inertia,Cognition,Social,Max Velocity,Iteration,Avg X Position,Avg Y Position,Avg Fitness,% Within Error,Best X Position,Best Y Position,Best Fitness,Error
0,1000,0.6,5.0,3.0,10,2000.0,20.09863,7.05836,91.58746,0.2,20.0,7.0,100.0,4.8331
1,2,0.3,3.0,2.5,5,43.0,9.44747,5.65332,84.95523,0.0,9.45808,5.70965,84.9802,0.05732999999999999
2,1000,0.6,0.2,0.5,5,38.0,19.99245,7.00568,99.9388,96.9,20.0,7.0,100.0,0.09107
3,70,0.2,0.2,2.0,2,109.0,19.99899,6.99407,99.88931,90.0,20.0,6.999969999999999,99.99996,0.09811
4,100,0.7,0.2,2.5,1,2000.0,19.99696,7.03769,99.0892,16.0,19.99975,7.00025,99.9995,0.5424100000000001
5,200,0.5,4.0,1.0,5,2000.0,20.083820000000003,6.766210000000001,96.12406999999999,2.5,20.0,7.0,100.0,2.17128
6,100,0.7,5.0,1.0,50,2000.0,22.22948,11.32756,48.86683,0.0,20.002270000000003,6.99147,99.98751,29.423609999999996
7,30,1.0,0.5,0.2,5,2000.0,20.87245,7.80828,91.17296999999999,0.0,20.0047,6.99377,99.98895999999999,5.21743
8,1000,0.8,0.2,0.5,1,119.0,20.00106,7.001510000000001,99.93295,94.3,20.0,7.0,100.0,0.09283
9,30,0.4,0.5,0.5,2,70.0,20.01888,6.9909300000000005,99.96970999999999,96.66666,20.0,7.0,100.0,0.08201
10,100,0.5,3.0,0.2,1,2000.0,20.011589999999998,7.02389,99.08923,10.0,20.0,7.0,100.0,0.522
11,2,0.3,5.0,1.0,2,61.0,-10.71124,7.1642600000000005,56.567130000000006,0.0,-10.702,7.159330000000001,56.58023000000001,0.01047
12,1000,0.1,3.0,2.5,2,2000.0,19.9886,6.999339999999999,98.53898000000001,0.2,19.999370000000003,7.0000100000000005,99.99911,0.7592899999999999
13,2,0.4,0.2,0.5,2,56.0,-11.00254,6.99914,56.15578000000001,0.0,-11.00254,6.97655,56.15578000000001,0.02259
14,30,0.8,2.5,0.2,10,2000.0,17.81919,6.03494,87.6625,0.0,20.00756,7.00988,99.98241,7.2024300000000006
15,30,0.5,2.0,4.0,10,2000.0,18.13424,7.7879,91.94537,0.0,19.993029999999997,6.989319999999999,99.98196,4.59473
16,10,0.8,4.0,3.0,50,2000.0,17.17144,-3.54426,57.7053,0.0,20.10834,7.12495,99.76613,24.505020000000002
17,70,0.7,5.0,1.0,2,2000.0,20.25487,7.02093,98.12312,1.4285700000000001,19.9998,6.999569999999999,99.99933,1.05976
